Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample_14_contaminant_free_read1_unpaired	sample_14_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1083622.0	107.2 Mbp	0.0	80-151	63.0	96.48996376807062	98.48390859543272	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_14_contaminant_free_read2_paired	sample_14_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67935180.0	8.5 Gbp	0.0	80-151	62.0	95.3855722362365	125.53968359250686	132	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_14_contaminant_free_read2_unpaired	sample_14_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	864121.0	85.5 Mbp	0.0	80-151	61.0	98.53230190778564	98.54699746910444	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_15_contaminant_free_read1_paired	sample_15_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32458132.0	3.9 Gbp	0.0	80-151	62.0	95.90772336301825	120.72475963804695	120	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_15_contaminant_free_read1_unpaired	sample_15_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	579197.0	56.9 Mbp	0.0	80-151	62.0	96.54765431750847	97.87150831237041	96	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_15_contaminant_free_read2_paired	sample_15_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32458132.0	3.9 Gbp	0.0	80-151	62.0	95.75712298120665	120.61548883959188	120	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
sample_15_contaminant_free_read2_unpaired	sample_15_contaminant_free_read2_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	304583.0	29.9 Mbp	0.0	80-151	61.0	98.58714831697064	97.87085293663796	96	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_16_contaminant_free_read1_paired	sample_16_contaminant_free_read1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42598680.0	5.4 Gbp	0.0	80-151	62.0	96.05085431503966	127.10893206080564	136	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
sample_16_contaminant_free_read1_unpaired	sample_16_contaminant_free_read1_unpaired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	812657.0	80.6 Mbp	0.0	80-151	64.0	97.16945530642714	98.73127777155676	98	pass	pass	fail	pass	fail	fail	pass	warn	pass	pass	pass
sample_16_contaminant_free_read2_paired	sample_16_contaminant_free_read2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42598680.0	5.4 Gbp	0.0	80-151	62.0	95.90977850717857	126.9290721684334	136	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
